Sno,Date,Time,State or union territory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
5127,12-08-2020,8:00 AM,Andaman & Nicobar Island,-,-,829,21,1900
5128,12-08-2020,8:00 AM,Andhra Pradesh,-,-,161425,2296,254146
5129,12-08-2020,8:00 AM,Arunanchal Pradesh,-,-,1659,3,2430
5130,12-08-2020,8:00 AM,Assam,-,-,47209,161,68999
5131,12-08-2020,8:00 AM,Bihar,-,-,59786,416,90321
5132,12-08-2020,8:00 AM,Chandigarh,-,-,1023,26,1751
5133,12-08-2020,8:00 AM,Chhattisgarh,-,-,9508,109,13498
5134,12-08-2020,8:00 AM,Dadara & Nagar Havelli,-,-,1248,2,1696
5135,12-08-2020,8:00 AM,NCT of Delhi,-,-,133405,4153,148504
5136,12-08-2020,8:00 AM,Goa,-,-,6641,89,9924
5137,12-08-2020,8:00 AM,Gujarat,-,-,57421,2713,74318
5138,12-08-2020,8:00 AM,Haryana,-,-,36694,503,44024
5139,12-08-2020,8:00 AM,Himachal Pradesh,-,-,2362,18,3636
5140,12-08-2020,8:00 AM,Jammu And Kashmir,-,-,18523,498,26413
5141,12-08-2020,8:00 AM,Jharkhand,-,-,10815,197,19743
5142,12-08-2020,8:00 AM,Karnataka,-,-,112633,3510,196494
5143,12-08-2020,8:00 AM,Kerala,-,-,24922,126,38144
5144,12-08-2020,8:00 AM,Madhya Pradesh,-,-,31239,1048,41604
5145,12-08-2020,8:00 AM,Maharashtra,-,-,381843,18650,548313
5146,12-08-2020,8:00 AM,Manipur,-,-,2231,12,3982
5147,12-08-2020,8:00 AM,Meghalaya,-,-,517,6,1179
5148,12-08-2020,8:00 AM,Mizoram,-,-,330,0,649
5149,12-08-2020,8:00 AM,Nagaland,-,-,1113,8,3118
5150,12-08-2020,8:00 AM,Odisha,-,-,36479,305,50672
5151,12-08-2020,8:00 AM,Puducherry,-,-,3676,96,6381
5152,12-08-2020,8:00 AM,Punjab,-,-,17212,675,26909
5153,12-08-2020,8:00 AM,Rajasthan,-,-,41648,822,56100
5154,12-08-2020,8:00 AM,Sikkim,-,-,550,1,930
5155,12-08-2020,8:00 AM,Tamil Nadu,-,-,256313,5278,314520
5156,12-08-2020,8:00 AM,Telangana,-,-,63074,665,86475
5157,12-08-2020,8:00 AM,Tripura,-,-,4912,44,6603
5158,12-08-2020,8:00 AM,Uttarakhand,-,-,6687,140,10886
5159,12-08-2020,8:00 AM,Uttar Pradesh,-,-,84661,2230,136238
5160,12-08-2020,8:00 AM,West Bengal,-,-,76120,2203,104326
5161,12-08-2020,8:00AM,Daman & Diu,-,-,1248,2,1696
5144,12-08-2020,8:00 AM,Ladakh,-,-,1274,9,1811
